,X,Y,Lipid Type,resid,Order
287,461.2044,301.37747,DOPC,2288,DOPC CHOL
288,78.71915,443.44397000000004,DOPC,2289,DOPC CHOL
289,3.8766716,241.65384,DOPC,2290,DOPC CHOL
290,277.12186,57.919669999999996,DOPC,2291,Ordered
291,66.82821,309.24118,DOPC,2292,DOPC CHOL
292,78.767296,192.18146000000002,DOPC,2293,Ordered
293,135.02993999999998,225.70595,DOPC,2294,DOPC CHOL
294,81.0963,291.2424,DOPC,2295,DOPC CHOL
295,22.63681,88.27894599999999,DOPC,2296,Ordered
296,491.54587000000004,423.5681,DOPC,2297,DOPC CHOL
297,274.91516,272.34476,DOPC,2298,DOPC CHOL
298,278.50433,388.05844,DOPC,2299,DOPC CHOL
299,346.50845,326.2439,DOPC,2300,DOPC CHOL
300,388.22534,48.1595,DOPC,2301,Ordered
301,439.1593,5.0144033,DOPC,2302,DOPC CHOL
302,300.72382000000005,251.13428,DOPC,2303,DOPC CHOL
303,35.34028,16.697704,DOPC,2304,Ordered
304,13.318137,91.946045,DOPC,2305,Ordered
305,408.9959,273.8882,DOPC,2306,DOPC CHOL
306,327.59067000000005,350.76199999999994,DOPC,2307,DOPC CHOL
307,476.41437,321.5667,DOPC,2308,Ordered
308,540.9844,183.0178,DOPC,2309,DOPC CHOL
309,336.69052,359.04037,DOPC,2310,DOPC CHOL
310,92.72148,447.73177999999996,DOPC,2311,DOPC CHOL
311,446.86032,25.51816,DOPC,2312,DOPC CHOL
312,125.11188,103.17925,DOPC,2313,Ordered
313,161.4969,538.65735,DOPC,2314,Ordered
314,535.52344,480.48965,DOPC,2315,DOPC CHOL
315,324.54697000000004,275.59186,DOPC,2316,DOPC CHOL
316,522.89996,504.82697,DOPC,2317,DOPC CHOL
317,264.20184,445.22125,DOPC,2318,DOPC CHOL
318,58.08971,184.77374,DOPC,2319,DOPC CHOL
319,190.85273999999998,364.33905,DOPC,2320,DOPC CHOL
320,268.34277000000003,224.77461,DOPC,2321,DOPC CHOL
321,221.46065,294.59225,DOPC,2322,DOPC CHOL
322,404.27158,386.6208,DOPC,2323,DOPC CHOL
323,329.13266,453.94595,DOPC,2324,DOPC CHOL
324,19.385416,347.41393999999997,DOPC,2325,Ordered
325,115.45642,215.5037,DOPC,2326,DOPC CHOL
326,533.3367,323.55756,DOPC,2327,DOPC CHOL
327,515.89166,68.27659,DOPC,2328,Ordered
328,528.9304,291.83344,DOPC,2329,DOPC CHOL
329,369.04812999999996,348.75674,DOPC,2330,Ordered
330,254.75702,343.25073,DOPC,2331,DOPC CHOL
331,402.1659,268.2302,DOPC,2332,DOPC CHOL
332,113.627975,456.86267000000004,DOPC,2333,DOPC CHOL
333,202.03136999999998,404.11716,DOPC,2334,DOPC CHOL
334,96.54253,88.4774,DOPC,2335,Ordered
335,383.37335,205.07018,DOPC,2336,DOPC CHOL
336,89.398865,511.37067,DOPC,2337,Ordered
337,385.09457000000003,105.87343,DOPC,2338,Ordered
338,455.5603,27.776144,DOPC,2339,Ordered
339,474.6118,329.3473,DOPC,2340,DOPC CHOL
