,X,Y,Lipid Type,resid,Order
22350,1157.9001,330.58002,DPPC,44958,DPPC CHOL
22351,1391.4601,391.95004,DPPC,44959,DOPC CHOL
22352,1260.6101,197.26001000000002,DPPC,44960,DOPC CHOL
22353,1228.4401,480.28002999999995,DPPC,44961,DOPC CHOL
22354,1176.06,437.39,DPPC,44962,DPPC CHOL
22355,1717.9401,576.82,DPPC,44963,DPPC CHOL
22356,1696.0701,506.59002999999996,DPPC,44964,DPPC CHOL
22357,1488.6,454.17004000000003,DPPC,44965,DPPC CHOL
22358,1330.84,200.31,DPPC,44966,DOPC CHOL
22359,1339.05,322.36,DPPC,44967,DPPC CHOL
22360,1435.63,661.35004,DPPC,44968,DOPC CHOL
22361,1381.7201,379.64,DPPC,44969,DOPC CHOL
22362,1539.6901,272.96002000000004,DPPC,44970,DPPC CHOL
22363,1265.02,286.22003,DPPC,44971,DPPC CHOL
22364,1437.06,437.76,DPPC,44972,DPPC CHOL
22365,1527.2101,501.85,DPPC,44973,DPPC CHOL
22366,1693.3701,136.42,DPPC,44974,DOPC CHOL
22367,1546.7601,656.39,DPPC,44975,DPPC CHOL
22368,1262.28,235.21002000000001,DPPC,44976,DOPC CHOL
22369,1317.3901,115.83,DPPC,44977,DOPC CHOL
22370,1321.92,297.62,DPPC,44978,DOPC CHOL
22371,1638.7501,149.90001,DPPC,44979,DPPC CHOL
22372,1156.4,306.22003,DPPC,44980,DOPC CHOL
22373,1567.98,500.26,DPPC,44981,DPPC CHOL
22374,1276.9102,119.310005,DPPC,44982,DPPC CHOL
22375,1597.14,391.94,DPPC,44983,DPPC CHOL
22376,1367.4102,620.74,DPPC,44984,DPPC CHOL
22377,1391.41,342.98,DPPC,44985,DPPC CHOL
22378,1454.04,61.340004,DPPC,44986,DPPC CHOL
22379,1605.9001,462.16003,DPPC,44987,DPPC CHOL
22380,1654.2201,462.54,DPPC,44988,DPPC CHOL
22381,1472.37,434.10004000000004,DPPC,44989,DPPC CHOL
22382,1610.67,149.52,DPPC,44990,DPPC CHOL
22383,1586.77,178.58002,DPPC,44991,DPPC CHOL
22384,1084.2101,370.58002,DPPC,44992,DOPC CHOL
22385,1574.1301,88.96001,DPPC,44993,DPPC CHOL
22386,1429.75,450.85004000000004,DPPC,44994,DOPC CHOL
22387,1290.0,503.18,DPPC,44995,DPPC CHOL
22388,1249.9401,384.39,DPPC,44996,DOPC CHOL
22389,1154.4801,353.71002000000004,DPPC,44997,DPPC CHOL
22390,1273.67,526.60004,DPPC,44998,DPPC CHOL
22391,1160.31,361.07,DPPC,44999,DPPC CHOL
22392,1257.53,317.42,DPPC,45000,DOPC CHOL
22393,1380.8801,476.18005,DPPC,45001,DPPC CHOL
22394,1298.05,589.41003,DPPC,45002,DPPC CHOL
22395,1194.29,286.93,DPPC,45003,DOPC CHOL
22396,1267.6101,449.32004000000006,DPPC,45004,DPPC CHOL
22397,1216.47,227.8,DPPC,45005,DPPC CHOL
22398,1389.87,611.03,DPPC,45006,DOPC CHOL
22399,1283.97,95.40001,DPPC,45007,DPPC CHOL
22400,1587.48,515.00006,DPPC,45008,DPPC CHOL
22401,1282.2,461.43002,DPPC,45009,DPPC CHOL
22402,1165.02,232.44002000000003,DPPC,45010,DPPC CHOL
22403,1631.8901,202.25,DPPC,45011,DPPC CHOL
22404,1466.0,732.13007,DPPC,45012,DPPC CHOL
22405,1454.8401,138.76001000000002,DPPC,45013,DOPC CHOL
22406,1594.53,491.2,DPPC,45014,DOPC CHOL
22407,1213.3201,319.77002000000005,DPPC,45015,DPPC CHOL
22408,1361.99,223.06001,DPPC,45016,DOPC CHOL
22409,1293.99,347.25003,DPPC,45017,DOPC CHOL
22410,1477.8601,281.87003,DPPC,45018,DPPC CHOL
22411,1420.1702,246.74002000000002,DPPC,45019,DOPC CHOL
22412,1564.8201,151.12001,DPPC,45020,DPPC CHOL
22413,1626.1401,84.35000600000001,DPPC,45021,DOPC CHOL
22414,1645.9702,624.77,DPPC,45022,DOPC CHOL
22415,1720.8401,34.56,DPPC,45023,DOPC CHOL
22416,1775.26,528.77,DPPC,45024,DPPC CHOL
22417,1622.77,418.29004,DPPC,45025,DOPC CHOL
22418,1194.28,374.61002,DPPC,45026,DPPC CHOL
22419,1412.87,383.22003,DPPC,45027,DPPC CHOL
22420,1209.0801,467.94003,DPPC,45028,DPPC CHOL
22421,1466.2902,399.22,DPPC,45029,DOPC CHOL
22422,1369.54,228.85,DPPC,45030,DPPC CHOL
